neighborhood,stability,morality,cycle length,generation count,seed
2,1.0,1.0,1,14,19561831
2,1.0,1.0,1,39,19561832
2,1.0,1.0,1,28,19561833
2,1.0,1.0,1,17,19561834
2,1.0,1.0,1,29,19561835
2,1.0,1.0,1,26,19561836
2,1.0,1.0,1,20,19561837
2,1.0,1.0,1,9,19561838
2,1.0,1.0,1,21,19561839
2,1.0,1.0,1,23,19561840
2,1.0,1.0,1,20,19561841
2,1.0,1.0,1,18,19561842
2,1.0,1.0,1,25,19561843
2,1.0,1.0,1,31,19561844
2,1.0,1.0,1,19,19561845
2,1.0,1.0,1,14,19561846
2,1.0,1.0,1,24,19561847
2,1.0,1.0,1,19,19561848
2,1.0,1.0,1,20,19561849
2,1.0,1.0,1,26,19561850
2,1.0,1.0,1,10,19561851
2,1.0,1.0,1,24,19561852
2,1.0,1.0,1,25,19561853
2,1.0,1.0,1,18,19561854
2,1.0,1.0,1,15,19561855
2,1.0,1.0,1,21,19561856
2,1.0,1.0,1,15,19561857
2,1.0,1.0,1,16,19561858
2,1.0,1.0,1,42,19561859
2,1.0,1.0,1,38,19561860
2,1.0,1.0,1,31,19561861
2,1.0,1.0,1,18,19561862
2,1.0,1.0,1,33,19561863
2,1.0,1.0,1,14,19561864
2,1.0,1.0,1,19,19561865
2,1.0,1.0,1,26,19561866
2,1.0,1.0,1,19,19561867
2,1.0,1.0,1,31,19561868
2,1.0,1.0,1,13,19561869
2,1.0,1.0,1,60,19561870
2,1.0,1.0,1,29,19561871
2,1.0,1.0,1,23,19561872
2,1.0,1.0,1,27,19561873
2,1.0,1.0,1,15,19561874
2,1.0,1.0,1,14,19561875
2,1.0,1.0,1,24,19561876
2,1.0,1.0,1,24,19561877
2,1.0,1.0,1,20,19561878
2,1.0,1.0,1,25,19561879
2,1.0,1.0,1,12,19561880
2,1.0,1.0,1,14,19561881
2,1.0,1.0,1,31,19561882
2,1.0,1.0,1,24,19561883
2,1.0,1.0,1,12,19561884
2,1.0,1.0,1,42,19561885
2,1.0,1.0,1,13,19561886
2,1.0,1.0,1,12,19561887
2,1.0,1.0,1,32,19561888
2,1.0,1.0,1,26,19561889
2,1.0,1.0,1,27,19561890
2,1.0,1.0,1,21,19561891
2,1.0,1.0,1,46,19561892
2,1.0,1.0,1,21,19561893
2,1.0,1.0,1,32,19561894
2,1.0,1.0,1,17,19561895
2,1.0,1.0,1,24,19561896
2,1.0,1.0,1,28,19561897
2,1.0,1.0,1,19,19561898
2,1.0,1.0,1,24,19561899
2,1.0,1.0,1,63,19561900
2,1.0,1.0,1,22,19561901
2,1.0,1.0,1,15,19561902
2,1.0,1.0,1,53,19561903
2,1.0,1.0,1,23,19561904
2,1.0,1.0,1,26,19561905
2,1.0,1.0,1,33,19561906
2,1.0,1.0,1,28,19561907
2,1.0,1.0,1,12,19561908
2,1.0,1.0,1,35,19561909
2,1.0,1.0,1,40,19561910
2,1.0,1.0,1,20,19561911
2,1.0,1.0,1,24,19561912
2,1.0,1.0,1,36,19561913
2,1.0,1.0,1,21,19561914
2,1.0,1.0,1,32,19561915
2,1.0,1.0,1,18,19561916
2,1.0,1.0,1,24,19561917
2,1.0,1.0,1,18,19561918
2,1.0,1.0,1,26,19561919
2,1.0,1.0,1,39,19561920
2,1.0,1.0,1,16,19561921
2,1.0,1.0,1,33,19561922
2,1.0,1.0,1,26,19561923
2,1.0,1.0,1,22,19561924
2,1.0,1.0,1,62,19561925
2,1.0,1.0,1,14,19561926
2,1.0,1.0,1,20,19561927
2,1.0,1.0,1,20,19561928
2,1.0,1.0,1,14,19561929
2,1.0,1.0,1,26,19561930
3,1.0,1.0,1,9,19561831
3,1.0,1.0,1,25,19561832
3,1.0,1.0,1,12,19561833
3,1.0,1.0,1,13,19561834
3,1.0,1.0,1,13,19561835
3,1.0,1.0,1,18,19561836
3,1.0,1.0,1,16,19561837
3,1.0,1.0,1,7,19561838
3,1.0,1.0,1,13,19561839
3,1.0,1.0,1,20,19561840
3,1.0,1.0,1,18,19561841
3,1.0,1.0,1,16,19561842
3,1.0,1.0,1,15,19561843
3,1.0,1.0,1,18,19561844
3,1.0,1.0,1,12,19561845
3,1.0,1.0,1,8,19561846
3,1.0,1.0,1,14,19561847
3,1.0,1.0,1,11,19561848
3,1.0,1.0,1,11,19561849
3,1.0,1.0,1,21,19561850
3,1.0,1.0,1,6,19561851
3,1.0,1.0,1,14,19561852
3,1.0,1.0,1,10,19561853
3,1.0,1.0,1,11,19561854
3,1.0,1.0,1,10,19561855
3,1.0,1.0,1,9,19561856
3,1.0,1.0,1,10,19561857
3,1.0,1.0,1,10,19561858
3,1.0,1.0,1,37,19561859
3,1.0,1.0,1,23,19561860
3,1.0,1.0,1,20,19561861
3,1.0,1.0,1,12,19561862
3,1.0,1.0,1,13,19561863
3,1.0,1.0,1,13,19561864
3,1.0,1.0,1,8,19561865
3,1.0,1.0,1,16,19561866
3,1.0,1.0,1,10,19561867
3,1.0,1.0,1,19,19561868
3,1.0,1.0,1,11,19561869
3,1.0,1.0,1,72,19561870
3,1.0,1.0,1,35,19561871
3,1.0,1.0,1,19,19561872
3,1.0,1.0,1,22,19561873
3,1.0,1.0,1,10,19561874
3,1.0,1.0,1,9,19561875
3,1.0,1.0,1,20,19561876
3,1.0,1.0,1,15,19561877
3,1.0,1.0,1,13,19561878
3,1.0,1.0,1,16,19561879
3,1.0,1.0,1,8,19561880
3,1.0,1.0,1,11,19561881
3,1.0,1.0,1,27,19561882
3,1.0,1.0,1,17,19561883
3,1.0,1.0,1,8,19561884
3,1.0,1.0,1,34,19561885
