learning distance,stability,morality,cycle length,generation count,seed
2,1.0,0.0,1,5,19561885
2,1.0,0.0,1,5,19561886
2,1.0,0.0,1,5,19561887
2,1.0,0.0,1,5,19561888
2,1.0,0.0,1,6,19561889
2,1.0,0.0,1,5,19561890
2,1.0,0.0,1,5,19561891
2,1.0,0.0,1,5,19561892
2,1.0,0.0,1,6,19561893
2,1.0,0.0,1,4,19561894
2,1.0,0.0,1,6,19561895
2,1.0,0.0,1,5,19561896
2,1.0,0.0,1,5,19561897
2,1.0,0.0,1,5,19561898
2,1.0,0.0,1,5,19561899
2,1.0,0.0,1,5,19561900
2,1.0,0.0,1,4,19561901
2,1.0,0.0,1,6,19561902
2,1.0,0.0,1,5,19561903
2,1.0,0.0,1,5,19561904
2,1.0,0.0,1,5,19561905
2,1.0,0.0,1,6,19561906
2,1.0,0.0,1,5,19561907
2,1.0,0.0,1,5,19561908
2,1.0,0.0,1,5,19561909
2,1.0,0.0,1,5,19561910
2,1.0,0.0,1,5,19561911
2,1.0,0.0,1,5,19561912
2,1.0,0.0,1,5,19561913
2,1.0,0.0,1,5,19561914
2,1.0,0.0,1,5,19561915
2,1.0,0.0,1,5,19561916
2,1.0,0.0,1,4,19561917
2,1.0,0.0,1,5,19561918
2,1.0,0.0,1,5,19561919
2,1.0,0.0,1,4,19561920
2,1.0,0.0,1,5,19561921
2,1.0,0.0,1,5,19561922
2,1.0,0.0,1,5,19561923
2,1.0,0.0,1,5,19561924
2,1.0,0.0,1,5,19561925
2,1.0,0.0,1,5,19561926
2,1.0,0.0,1,5,19561927
2,1.0,0.0,1,5,19561928
2,1.0,0.0,1,5,19561929
2,1.0,0.0,1,5,19561930
3,1.0,0.0,1,4,19561831
3,1.0,0.0,1,3,19561832
3,1.0,0.0,1,3,19561833
3,1.0,0.0,1,4,19561834
3,1.0,0.0,1,3,19561835
3,1.0,0.0,1,4,19561836
3,1.0,0.0,1,4,19561837
3,1.0,0.0,1,4,19561838
3,1.0,0.0,1,4,19561839
3,1.0,0.0,1,4,19561840
3,1.0,0.0,1,5,19561841
3,1.0,0.0,1,3,19561842
3,1.0,0.0,1,3,19561843
3,1.0,0.0,1,4,19561844
3,1.0,0.0,1,4,19561845
3,1.0,0.0,1,4,19561846
3,1.0,0.0,1,3,19561847
3,1.0,0.0,1,4,19561848
3,1.0,0.0,1,4,19561849
3,1.0,0.0,1,3,19561850
3,1.0,0.0,1,3,19561851
3,1.0,0.0,1,3,19561852
3,1.0,0.0,1,3,19561853
3,1.0,0.0,1,3,19561854
3,1.0,0.0,1,4,19561855
3,1.0,0.0,1,3,19561856
3,1.0,0.0,1,4,19561857
3,1.0,0.0,1,3,19561858
3,1.0,0.0,1,4,19561859
3,1.0,0.0,1,4,19561860
3,1.0,0.0,1,3,19561861
3,1.0,0.0,1,4,19561862
3,1.0,0.0,1,5,19561863
3,1.0,0.0,1,4,19561864
3,1.0,0.0,1,3,19561865
3,1.0,0.0,1,4,19561866
3,1.0,0.0,1,3,19561867
3,1.0,0.0,1,4,19561868
3,1.0,0.0,1,4,19561869
3,1.0,0.0,1,4,19561870
3,1.0,0.0,1,5,19561871
3,1.0,0.0,1,3,19561872
3,1.0,0.0,1,3,19561873
3,1.0,0.0,1,3,19561874
3,1.0,0.0,1,3,19561875
3,1.0,0.0,1,4,19561876
3,1.0,0.0,1,4,19561877
3,1.0,0.0,1,3,19561878
3,1.0,0.0,1,3,19561879
3,1.0,0.0,1,3,19561880
3,1.0,0.0,1,4,19561881
3,1.0,0.0,1,4,19561882
3,1.0,0.0,1,4,19561883
3,1.0,0.0,1,3,19561884
3,1.0,0.0,1,4,19561885
3,1.0,0.0,1,3,19561886
3,1.0,0.0,1,4,19561887
3,1.0,0.0,1,4,19561888
3,1.0,0.0,1,5,19561889
3,1.0,0.0,1,3,19561890
3,1.0,0.0,1,4,19561891
3,1.0,0.0,1,3,19561892
3,1.0,0.0,1,4,19561893
3,1.0,0.0,1,3,19561894
3,1.0,0.0,1,4,19561895
3,1.0,0.0,1,4,19561896
3,1.0,0.0,1,4,19561897
3,1.0,0.0,1,3,19561898
3,1.0,0.0,1,3,19561899
3,1.0,0.0,1,4,19561900
3,1.0,0.0,1,4,19561901
3,1.0,0.0,1,3,19561902
3,1.0,0.0,1,3,19561903
3,1.0,0.0,1,4,19561904
3,1.0,0.0,1,4,19561905
3,1.0,0.0,1,4,19561906
3,1.0,0.0,1,5,19561907
3,1.0,0.0,1,4,19561908
3,1.0,0.0,1,4,19561909
3,1.0,0.0,1,4,19561910
3,1.0,0.0,1,4,19561911
3,1.0,0.0,1,3,19561912
3,1.0,0.0,1,3,19561913
3,1.0,0.0,1,3,19561914
3,1.0,0.0,1,4,19561915
3,1.0,0.0,1,4,19561916
3,1.0,0.0,1,3,19561917
3,1.0,0.0,1,4,19561918
3,1.0,0.0,1,4,19561919
3,1.0,0.0,1,3,19561920
3,1.0,0.0,1,3,19561921
3,1.0,0.0,1,3,19561922
3,1.0,0.0,1,4,19561923
3,1.0,0.0,1,4,19561924
3,1.0,0.0,1,4,19561925
3,1.0,0.0,1,4,19561926
3,1.0,0.0,1,3,19561927
3,1.0,0.0,1,3,19561928
3,1.0,0.0,1,4,19561929
3,1.0,0.0,1,4,19561930
