learning rule,stability,morality,cycle length,generation count,seed
BestR,1.0,0.0,1,3,19561910
BestR,1.0,0.0,1,3,19561911
BestR,1.0,0.0,1,3,19561912
BestR,1.0,0.0,1,3,19561913
BestR,1.0,0.0,1,3,19561914
BestR,1.0,0.0,1,3,19561915
BestR,1.0,0.0,1,3,19561916
BestR,1.0,0.0,1,3,19561917
BestR,1.0,0.0,1,3,19561918
BestR,1.0,0.0,1,3,19561919
BestR,1.0,0.0,1,3,19561920
BestR,1.0,0.0,1,3,19561921
BestR,1.0,0.0,1,3,19561922
BestR,1.0,0.0,1,3,19561923
BestR,1.0,0.0,1,3,19561924
BestR,1.0,0.0,1,3,19561925
BestR,1.0,0.0,1,3,19561926
BestR,1.0,0.0,1,4,19561927
BestR,1.0,0.0,1,3,19561928
BestR,1.0,0.0,1,3,19561929
BestR,1.0,0.0,1,3,19561930
